sample	bin_id	mean	relative_abndunce	RPKM
MTS-010	MTS-001_bin.21.strict	4.149308	0.14369176	0.38100898
MTS-010	MTS-010_bin.10.strict	9.350309	0.32380396	0.8534259
MTS-010	MTS-010_bin.8.permissive	317.30466	10.988354	28.860548
MTS-020	unmapped	NA	3.1797647	NA
MTS-020	MTS-010_bin.12.strict	159.38734	5.8471727	15.003743
MTS-020	MTS-010_bin.11.orig	11.916397	0.4371566	1.1235749
MTS-020	MTS-010_bin.16.orig	1.1739542	0.043066863	0.114216276
MTS-020	MTS-110_bin.3.permissive	0	0	0
MTS-020	MTS-001_bin.5.orig	3.204141	0.11754487	0.3038254
MTS-020	MTS-001_bin.6.orig	3.4687693	0.12725285	0.32861644
MTS-020	MTS-090_bin.4.strict	0	0	0
MTS-020	MTS-060_bin.2.permissive	533.01434	19.553791	50.487762
MTS-020	MTS-001_bin.16.orig	4.523337	0.16593997	0.43570343
MTS-020	MTS-040_bin.3.orig	455.13858	16.696896	42.865387
MTS-020	MTS-001_bin.11.strict	205.599	7.5424604	19.347456
MTS-020	MTS-001_bin.9.orig	2.525442	0.09264659	0.23834033
MTS-020	MTS-100_bin.2.strict	0	0	0
MTS-020	MTS-010_bin.15.orig	29.772926	1.0922288	2.8105512
MTS-020	MTS-001_bin.20.orig	0.89405626	0.03279872	0.08713524
MTS-020	MTS-001_bin.7.orig	7.175043	0.2632186	0.6769699
MTS-020	MTS-090_bin.1.strict	1063.4076	39.011425	100.17404
MTS-020	MTS-090_bin.2.orig	0	0	0
MTS-020	MTS-010_bin.1.orig	17.649616	0.64748144	1.6665063
MTS-020	MTS-010_bin.5.strict	1.9706571	0.072294146	0.18644133
MTS-020	MTS-001_bin.13.orig	24.362837	0.893758	2.3001263
MTS-020	MTS-010_bin.9.strict	0.9437091	0.034620248	0.093544275
MTS-020	MTS-001_bin.19.orig	0	0	0
MTS-020	MTS-001_bin.18.strict	0.2813493	0.010321383	0.02690755
MTS-020	MTS-020_bin.11.strict	37.097614	1.3609371	3.504427
MTS-020	MTS-020_bin.6.strict	22.572092	0.828064	2.1377487
MTS-020	MTS-001_bin.4.permissive	33.420536	1.2260425	3.1486595
MTS-020	MTS-090_bin.7.strict	0	0	0
MTS-020	MTS-001_bin.10.orig	7.541656	0.2766679	0.7156149
MTS-020	MTS-001_bin.21.strict	0.6947046	0.025485449	0.06720088
MTS-020	MTS-010_bin.10.strict	0.47328055	0.017362438	0.051912382
MTS-020	MTS-010_bin.8.permissive	11.00179	0.40360394	1.0464797
MTS-024	unmapped	NA	1.9428074	NA
MTS-024	MTS-010_bin.12.strict	156.80193	2.702153	7.2799644
MTS-024	MTS-010_bin.11.orig	11.012854	0.1897835	0.51083434
MTS-024	MTS-010_bin.16.orig	0.8941291	0.015408445	0.043858204
MTS-024	MTS-110_bin.3.permissive	0	0	0
MTS-024	MTS-001_bin.5.orig	2.7188504	0.0468537	0.13029769
MTS-024	MTS-001_bin.6.orig	2.1101913	0.036364738	0.101347305
MTS-024	MTS-090_bin.4.strict	0	0	0
MTS-024	MTS-060_bin.2.permissive	1201.5411	20.706047	55.90724
MTS-024	MTS-001_bin.16.orig	2.3658788	0.040770974	0.11532039
MTS-024	MTS-040_bin.3.orig	680.08655	11.71987	31.800205
MTS-024	MTS-001_bin.11.strict	202.61565	3.4916568	9.421968
MTS-024	MTS-001_bin.9.orig	5.592641	0.09637748	0.25836474
